Date,Calls,Query,Bookings Margin,Bookings Count,Issued Margin,Issued Count,Pending Margin,Pending Count,Same Month Margin,Same Month Count
Oct-24,2144,1322,203915.51,2378,103222.43,1485,37187.14,418,72456.87,1242
Sep-24,3019,1726,267271.62,3344,248262.04,3076,19755.56,250,137665.79,2351
Aug-24,3050,1671,256704,3132,281973.21,3004,16327.68,201,150603.57,2210
Jul-24,3407,2020,281738.28,3313,390071.72,3362,15730.81,197,159282.71,2324
Jun-24,2837,1863,252764.02,3052,295389.7,2870,1597.18,148,137362.87,2116
May-24,2664,2043,272921.8,3218,259963.97,2967,10071.98,163,131686.8,2224
Apr-24,3065,2153,300621.3,3135,250904.44,2882,13837.49,148,138947.13,2217
Mar-24,3140,2427,280267.53,3123,248846.81,2989,10363.33,148,139843.09,2240
Feb-24,3183,2516,298349.58,3305,244309.55,2922,11912.27,139,145112.9,2322
Jan-24,3765,3109,353645.62,3945,271895.54,3387,10327.55,152,191348.1,2875
,,,,,,,,,,
Dec-23,3099,2267,211657.73,2412,272810.32,2650,8467.45,123,144230.64,1847
Nov-23,3309,2276,243174.35,3050,259656.08,3006,7658.54,128,141559.63,2274
Oct-23,3486,1762,244656.13,3121,251188.68,2921,6409.89,126,143774.44,2298
Sep-23,4320,1858,246429.85,3296,236686.66,3030,6796.95,124,143941.27,2466
Aug-23,4154,2062,206607.72,2867,220502.33,2681,8868.14,135,120358.76,2144
Jul-23,3999,2459,245940.59,2934,324593.34,2932,5997.72,115,152989.72,2242
Jun-23,3434,2166,211611.19,2771,261845.36,2656,6436.9,113,118069.1,2076
May-23,3619,1569,246654.3,2877,240691.48,2754,9526.48,108,130626,2147
Apr-23,3452,1353,229470.53,2663,206503.44,2498,7873.06,125,119738.82,1907
Mar-23,3950,1598,280238.72,3265,232780.5,2941,9908.96,166,140015.21,2372
Feb-23,3806,1552,245179.92,3052,203495.99,2787,6686.93,113,135976.66,2289
Jan-23,4473,1881,272147.12,3647,223237.43,3141,9993.83,166,155357.75,2720
,,,,,,,,,,
Dec-22,3505,1497,2544589.39,30360,242074.57,2322,5835.87,111,133162.61,1749
Nov-22,3637,1600,235107.45,2862,273341.09,2857,9458.37,150,156956.39,2200
Oct-22,3870,1469,232215.3,2993,229370.65,2764,6656.85,127,146392.97,2248
Sep-22,4548,1365,267316.63,2969,249512.71,2669,7771.74,138,167259.04,2203
Aug-22,4840,1366,245445.24,2638,241102.21,2426,8559.84,159,165921.82,1986
Jul-22,4582,1336,259387.34,2416,314470.92,2550,8839.29,123,189945.2,1836
Jun-22,3836,1249,239303.28,2337,263564.8,2462,5445.73,87,161948.12,1752
May-22,4075,1462,269999.77,2759,233184.15,2488,7568,109,169209.92,1958
Apr-22,3931,1502,248098.39,2657,206518.99,2957,5710.89,95,150150.6,1907
Mar-22,3476,1572,272749.92,3143,249725.76,2967,8894.6,134,184673.54,2346
Feb-22,3089,1244,244718.06,3062,198426.19,2623,6132.14,114,153867.93,2184
Jan-22,3150,1063,259302.43,3192,225349.4,2803,5369.65,93,189915.81,2479
,,,,,,,,,,
Dec-21,3220,656,203000.05,2054,251573.13,2407,3255.06,46,178416.79,1755
Nov-21,3536,1339,232109.88,2736,238868.16,2595,8930.16,138,166806.79,2000
Oct-21,3890,1573,300345.93,3290,234220.2,2660,6635.96,126,206717.01,2377
Sep-21,2430,1049,192666.33,1976,172601.59,1761,5291.74,86,143808.96,1475
Aug-21,1980,1028,183630.17,1555,185911.43,1453,4391.21,73,150714.12,1174
Jul-21,2103,793,155218.28,1358,171200.92,1302,3411.96,65,128358.24,1045
Jun-21,1638,751,157501.64,1250,169931.08,1342,3264.8,68,126820.47,940
May-21,1779,690,142895.75,1253,134455.32,1238,3513.54,56,97900.51,884
Apr-21,1612,634,128656.7,1077,121998.56,1101,3366.68,60,91424.59,762
Mar-21,2082,849,185973.37,1516,173388.07,1427,5070.8,74,144427.56,1141
Feb-21,1641,745,156919.5,1377,149025.38,1274,2829.13,54,122922.01,1065
Jan-21,1718,723,184819.71,1680,181597.46,1545,2717.52,70,150465.08,1322
,,,,,,,,,,
Dec-20,2268,639,238200.44,1710,259749.51,1894,3184.87,62,204803.33,1413
Nov-20,2259,503,195580.79,1657,197886.33,1600,4453.27,73,156964.55,1295
Oct-20,2187,581,179272.39,1639,167250.3,1625,3262.81,69,130249.71,1261
Sep-20,2433,771,129060.74,1312,121794.49,1159,2750.69,58,96481.24,972
Aug-20,1940,566,74638.69,766,90440.5,702,4106.41,59,52879.72,532
Jul-20,2055,548,82225.83,717,83318.66,675,2287.07,45,56516.78,497
Jun-20,2345,288,50494.03,477,58809.2,433,1053.56,22,34146.27,297
May-20,734,0,21964,202,35836.43,254,492.97,11,15684.39,128
Apr-20,1764,0,17765.67,159,31328.54,239,670.58,8,9566.92,99
Mar-20,3394,570,113782.47,1303,114798.87,1205,6426.49,117,80345.32,883
Feb-20,3346,1626,211222.95,2579,176629.6,2422,8535.14,192,127685.17,1811
Jan-20,4244,2242,230417.19,3274,178023.94,2737,7256.33,174,138219.16,2364
,,,,,,,,,,
Dec-19,2922,1851,194022.14,1964,254901.2,2088,-7.5,20,156885.47,1462
Nov-19,3185,1460,200585.75,2292,211237.82,2222,52.18,34,140725.49,1661
Oct-19,2869,1545,227968.74,2665,204359.08,2416,-15,41,143870.02,1864
Sep-19,2680,1591,178451.06,2545,166017.49,2378,-10,35,123754.43,1844
Aug-19,3021,1847,167308.75,2243,160574.96,1976,15,42,110148.21,1528
Jul-19,3226,1712,178479.93,2322,212552.63,2232,-5,25,130931.49,1714
Jun-19,2695,1437,164269.41,2195,189996.56,2170,-17.5,45,116409.39,1631
May-19,2654,1476,180093.37,2335,176263.57,2155,-2.5,27,115646.42,1696
Apr-19,2681,1185,188968.41,2170,170823.17,1978,0,29,123942.46,1587
Mar-19,2724,1241,184691.32,2278,166578.33,2075,0,26,116717.25,1694
Feb-19,3066,1376,181247.12,2238,138059.25,1929,0,33,110442.66,1633
Jan-19,3749,1458,188169.06,2602,150397.33,2250,-5,28,128270.49,2003
,,,,,,,,,,
Dec-18,2400,792,149499.52,1454,167377.89,1492,2608.88,60,127539.76,1165
Nov-18,2553,764,137686.78,1847,141917.55,1848,1656.45,60,97341.24,1459
Oct-18,2802,603,146689.64,2013,140648.56,1821,2730.65,71,106047.98,1509
Sep-18,2201,615,139447.46,1948,126241.65,1844,1119.48,60,99068.16,1517
Aug-18,2861,574,131785.02,1652,137379.38,1536,3821.98,73,97058.88,1244
Jul-18,3124,730,172527.64,1641,169096.59,1571,3683.2,59,132018.18,1240
Jun-18,3079,776,139143.65,1665,151851.52,1594,4599.11,78,99011.03,1239
May-18,2689,862,133714.68,1777,127193.35,1578,4469.93,82,84003.08,1278
Apr-18,2362,914,120453.19,1650,120398.73,1535,2600.15,61,77063.55,1237
Mar-18,2394,995,149083.86,1773,144758.48,1713,2678.6,69,97581.19,1299
Feb-18,2445,1059,147946.23,1853,119426.19,1664,2304.98,46,83801.58,1314
Jan-18,3247,1679,179559.92,2399,137792.03,2055,3571.21,71,113915.61,1807
,,,,,,,,,,
Dec-17,2019,882,111570.29,1255,123707.34,1261,3854.27,73,87616.62,944
Nov-17,1726,694,96293.05,1432,114718.57,1445,4086.55,93,68805.8,1047
Oct-17,1592,1041,110014.16,1503,99007.97,1394,3482.09,70,62591.36,1058
Sep-17,1795,1494,114903.52,1602,98035.03,1382,6468.46,101,72503.29,1135
Aug-17,2230,639,112037.94,1606,105962.78,1441,4494.78,95,76847.49,1152
Jul-17,2750,626,125734.27,1545,129876.67,1458,4078.16,71,89715.95,1164
Jun-17,2004,619,109095.25,1478,112812.05,1361,1721.73,47,70355.15,1058
May-17,2468,676,118408.2,1675,114273.54,1459,2385.89,62,72145.47,1195
Apr-17,2077,688,117080.13,1405,107735.51,1280,817.06,48,70661.96,1012
Mar-17,2674,761,136369.25,1782,125823.1,1628,3412.93,55,90474.27,1328
Feb-17,2548,711,123011.08,1651,107265.45,1438,2204.02,54,74076.6,1164
Jan-17,3004,832,166055.21,2161,128276.1,1755,3308.33,71,106823.2,1588
,,,,,,,,,,
Dec-16,2054,528,112883.04,1289,117335.71,1344,2367.65,44,80632,942
Nov-16,1778,560,129485.19,1634,120663.49,1479,2101.06,49,89094.34,1209
Oct-16,1922,669,124650.49,1686,112017.19,1503,2221.19,41,79421.74,1217
Sep-16,2100,492,106710.58,1564,90966.28,1407,1377.24,37,71220.68,1164
Aug-16,2618,639,125460.78,1628,122023.88,1460,2310.33,39,95954.97,1257
Jul-16,3281,674,156475.66,1668,146255.63,1465,3099.01,43,118536.41,1219
Jun-16,2439,572,121496.02,1517,121517.41,1389,570.95,35,89240.53,1122
May-16,2248,456,122288.68,1572,116506.7,1398,718.65,27,82720.24,1143
Apr-16,2439,332,124186.61,1691,114680.55,1523,556.07,34,84743.85,1234
Mar-16,10780,471,125812.63,1681,110371.24,1483,395.62,25,80850.62,1205
Feb-16,0,388,111285.95,1688,87072.36,1407,198.33,25,67935.35,1203
Jan-16,0,390,113720.89,1710,81508.53,1373,228.13,19,69176.28,1209
,,,,,,,,,,
Dec-15,0,450,119666.59,1188,116065.79,1130,417.72,10,94708.06,873
Nov-15,710,593,112090.92,1391,109840.2,1314,304.75,14,83183.9,1026
Oct-15,2279,611,114686.85,1597,100054.73,1425,437.24,13,77133.74,1157
Sep-15,2737,0,98929.64,1593,91067.86,1402,330.15,11,65628.65,1115
Aug-15,2297,0,110311.99,1460,96925.1,1255,283.38,8,69356.49,1022
Jul-15,2918,0,138020.16,1651,133303.18,1472,78.59,7,95360.1,1153
Jun-15,2440,0,116399.94,1505,110685.69,1349,59.69,9,66550.9,963
May-15,2268,0,122885.44,1515,106984.07,1252,122.61,7,67033.97,958
Apr-15,1911,0,119825.68,1370,108336.97,1130,134.47,6,67713.45,863
Mar-15,2263,0,131550.02,1536,104689.49,1289,52.5,7,69131.01,1006
Feb-15,1709,0,106470.59,1389,76862.42,1076,224.93,5,54652.57,849
Jan-15,2165,0,137026.13,1610,90267.68,1244,269.95,15,66959.47,1034
,,,,,,,,,,
Dec-14,1943,0,440493.52,5580,106958.31,915,305.59,27,75987.19,715
Nov-14,2443,0,91503.26,918,95857.65,907,58.72,7,68836.19,734
Oct-14,2416,0,66837.09,741,56845.6,647,122.62,13,36851.97,498
Sep-14,1948,0,50337.81,638,46774.22,605,150,5,28844.46,449
Aug-14,2058,0,57291.05,580,53490.1,522,39.48,2,33026.13,401
Jul-14,2933,0,53215.68,529,56267.09,517,99.76,6,34157.09,372
Jun-14,2393,0,47027.97,443,48726.2,417,185.57,7,25886.36,283
May-14,2184,0,49890.64,503,43471.05,441,25.85,5,26845.5,314
Apr-14,2005,0,47904.37,459,50107.6,442,0,2,31209.22,324
Mar-14,2042,0,45303.34,420,49369.67,416,5,4,32639.77,293
Feb-14,1734,0,40971.26,403,36842.23,383,0,7,22353.97,276
Jan-14,1907,0,57327.76,515,41714.77,384,122.69,4,32891.53,321
,,,,,,,,,,
Dec-13,1616,0,19932.01,144,19509.56,144,0,1,12170.51,92
Nov-13,1957,0,21511.19,307,20746.98,281,75.78,4,15046.92,232
Oct-13,2628,0,19367.86,205,16875.75,169,169.45,6,11436.05,126
Sep-13,2489,0,15277.57,189,12827.45,163,69.3,6,9340.15,131
Aug-13,3182,0,15389.15,148,14421.61,133,-267.78,9,9879.17,103
Jul-13,4023,0,17405.28,151,16945.89,123,0,4,12948.95,98
Jun-13,2809,0,13764.83,118,19324.69,128,25,2,10916.69,88
May-13,2772,0,16117.52,132,17728.94,128,44,5,11381.23,95
Apr-13,3325,0,25329.72,164,22023.56,146,1037.5,5,15400.65,112
Mar-13,3913,0,14972.45,125,14769.24,123,-33.1,2,6990.82,84
Feb-13,3532,0,12373.08,107,12852.27,112,0,1,7248.25,73
Jan-13,4373,0,28831.32,221,22885.52,177,0,3,19218.35,154
,,,,,,,,,,
Dec-12,4218,0,10256.52,77,8835.69,73,0,1,7148.48,53
Nov-12,5095,0,12140.46,107,13559.66,107,N/A,0,9864.22,84
Oct-12,6770,0,14212.62,112,15407.23,114,-53,2,11872.64,84
Sep-12,9706,0,14482.61,116,12852.31,107,0,2,9638.38,77
Aug-12,6880,0,8552.13,93,8990.69,84,0,1,5281.1,57
Jul-12,10432,0,7863.12,73,8647.33,63,0,3,4770.32,43
Jun-12,9863,0,12352.94,99,11421.42,97,0,4,8180.68,71
May-12,10008,0,8714.9,89,9590.76,84,8,1,5093.98,58
Apr-12,9810,0,11694.24,97,11415.76,98,N/A,0,8879.05,75
Mar-12,13427,0,8653.44,91,10478.31,89,-4,5,5515.66,57
Feb-12,13660,0,9382.66,88,7462.78,75,91.5,2,5526.49,60
Jan-12,17217,0,10474.51,111,8696.6,86,50,6,6629.16,73
,,,,,,,,,,
Dec-11,10181,0,6853.94,52,7416.23,52,N/A,0,5716.5,36
Nov-11,13176,0,7212.99,69,8533.56,82,N/A,0,5518,53
Oct-11,10519,0,5882.02,65,4947.65,63,N/A,0,3850.43,46
Sep-11,8349,0,5536.07,60,5033.49,53,N/A,0,3021.43,36
Aug-11,7891,0,8337.62,60,7951.95,66,N/A,0,5247.3,46
Jul-11,11046,0,9174.88,55,10167.32,69,N/A,0,5243.18,32
Jun-11,10892,0,7932.22,69,6933.69,69,N/A,0,3057.22,35
May-11,10632,0,6062.38,60,6659.69,66,N/A,0,3446.15,35
Apr-11,12287,0,6858.99,76,8219.36,67,N/A,0,4485.02,41
Mar-11,14074,0,9423.31,78,8096.97,71,N/A,0,4961.34,39
Feb-11,11391,0,7780.64,97,7746.9,83,0,2,4442.1,56
Jan-11,12060,0,8627.4,80,6132.1,56,N/A,0,3416.38,38
,,,,,,,,,,
Dec-10,11736,0,6575.77,60,4467.91,44,N/A,0,3339.08,31
Nov-10,11931,0,4484.19,53,4364.65,44,N/A,0,2857.24,33
Oct-10,10681,0,6249.2,48,3726.08,39,0,3,2794.04,30
Sep-10,3399,0,5852.38,115,4509.44,52,371.85,16,4431.94,50
